CODREG;REG;CODDEP;CODCAN;CAN;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;01;01;Ambérieu-en-Bugey;18;30257;31025
84;Auvergne-Rhône-Alpes;01;02;Attignat;18;24762;25284
84;Auvergne-Rhône-Alpes;01;03;Bellegarde-sur-Valserine;12;21898;22387
84;Auvergne-Rhône-Alpes;01;04;Belley;33;24679;25467
84;Auvergne-Rhône-Alpes;01;05;Bourg-en-Bresse-1;2;35368;36634
84;Auvergne-Rhône-Alpes;01;06;Bourg-en-Bresse-2;4;25779;26900
84;Auvergne-Rhône-Alpes;01;07;Ceyzériat;22;25961;26558
84;Auvergne-Rhône-Alpes;01;08;Châtillon-sur-Chalaronne;26;30182;30934
84;Auvergne-Rhône-Alpes;01;09;Gex;7;32195;32936
84;Auvergne-Rhône-Alpes;01;10;Hauteville-Lompnes;28;22038;22599
84;Auvergne-Rhône-Alpes;01;11;Lagnieu;26;34098;34850
84;Auvergne-Rhône-Alpes;01;12;Meximieux;15;33254;33768
84;Auvergne-Rhône-Alpes;01;13;Miribel;8;28916;29433
84;Auvergne-Rhône-Alpes;01;14;Nantua;17;21409;22184
84;Auvergne-Rhône-Alpes;01;15;Oyonnax;2;25692;26257
84;Auvergne-Rhône-Alpes;01;16;Pont-d'Ain;24;21997;22516
84;Auvergne-Rhône-Alpes;01;17;Replonges;31;31020;31693
84;Auvergne-Rhône-Alpes;01;18;Saint-Étienne-du-Bois;26;22490;22972
84;Auvergne-Rhône-Alpes;01;19;Saint-Genis-Pouilly;4;36031;36782
84;Auvergne-Rhône-Alpes;01;20;Thoiry;16;28309;29035
84;Auvergne-Rhône-Alpes;01;21;Trévoux;12;33447;34401
84;Auvergne-Rhône-Alpes;01;22;Villars-les-Dombes;25;33511;34217
84;Auvergne-Rhône-Alpes;01;23;Vonnas;19;24341;24888
32;Hauts-de-France;02;01;Bohain-en-Vermandois;31;22066;22448
32;Hauts-de-France;02;02;Château-Thierry;21;28029;28669
32;Hauts-de-France;02;03;Chauny;21;24170;24869
32;Hauts-de-France;02;04;Essômes-sur-Marne;47;29209;29863
32;Hauts-de-France;02;05;Fère-en-Tardenois;78;27712;28187
32;Hauts-de-France;02;06;Guignicourt;76;26367;26937
32;Hauts-de-France;02;07;Guise;45;23349;23769
32;Hauts-de-France;02;08;Hirson;26;21171;21583
32;Hauts-de-France;02;09;Laon-1;27;25311;25828
32;Hauts-de-France;02;10;Laon-2;25;25261;25958
32;Hauts-de-France;02;11;Marle;65;19755;20209
32;Hauts-de-France;02;12;Ribemont;52;26422;26881
32;Hauts-de-France;02;13;Saint-Quentin-1;25;29153;29796
32;Hauts-de-France;02;14;Saint-Quentin-2;11;22799;23542
32;Hauts-de-France;02;15;Saint-Quentin-3;9;27504;27985
32;Hauts-de-France;02;16;Soissons-1;15;23045;23416
32;Hauts-de-France;02;17;Soissons-2;14;29370;30056
32;Hauts-de-France;02;18;Tergnier;24;29445;29982
32;Hauts-de-France;02;19;Vervins;66;21457;22165
32;Hauts-de-France;02;20;Vic-sur-Aisne;50;21234;21724
32;Hauts-de-France;02;21;Villers-Cotterêts;76;30487;31486
84;Auvergne-Rhône-Alpes;03;01;Bellerive-sur-Allier;11;19014;19550
84;Auvergne-Rhône-Alpes;03;02;Bourbon-l'Archambault;28;16681;17128
84;Auvergne-Rhône-Alpes;03;03;Commentry;24;18276;18783
84;Auvergne-Rhône-Alpes;03;04;Cusset;4;17347;17966
84;Auvergne-Rhône-Alpes;03;05;Dompierre-sur-Besbre;32;20321;20820
84;Auvergne-Rhône-Alpes;03;06;Gannat;41;19840;20316
84;Auvergne-Rhône-Alpes;03;07;Huriel;29;15958;16282
84;Auvergne-Rhône-Alpes;03;08;Lapalisse;31;18018;18536
84;Auvergne-Rhône-Alpes;03;09;Montluçon-1;4;15631;15909
84;Auvergne-Rhône-Alpes;03;10;Montluçon-2;2;16106;16683
84;Auvergne-Rhône-Alpes;03;11;Montluçon-3;15;18538;19123
84;Auvergne-Rhône-Alpes;03;12;Montluçon-4;7;16294;16713
84;Auvergne-Rhône-Alpes;03;13;Moulins-1;7;17870;18705
84;Auvergne-Rhône-Alpes;03;14;Moulins-2;23;18993;19413
84;Auvergne-Rhône-Alpes;03;15;Saint-Pourçain-sur-Sioule;22;19284;19701
84;Auvergne-Rhône-Alpes;03;16;Souvigny;29;15039;15374
84;Auvergne-Rhône-Alpes;03;17;Vichy-1;4;18686;18945
84;Auvergne-Rhône-Alpes;03;18;Vichy-2;3;17980;18274
84;Auvergne-Rhône-Alpes;03;19;Yzeure;6;17295;17935
93;Provence-Alpes-Côte d'Azur;04;01;Barcelonnette;14;7803;8137
93;Provence-Alpes-Côte d'Azur;04;02;Castellane;32;9788;10002
93;Provence-Alpes-Côte d'Azur;04;03;Château-Arnoux-Saint-Auban;8;12481;12745
93;Provence-Alpes-Côte d'Azur;04;04;Digne-les-Bains-1;7;11839;12431
93;Provence-Alpes-Côte d'Azur;04;05;Digne-les-Bains-2;7;12123;12601
93;Provence-Alpes-Côte d'Azur;04;06;Forcalquier;15;11381;11593
93;Provence-Alpes-Côte d'Azur;04;07;Manosque-1;3;12133;12383
93;Provence-Alpes-Côte d'Azur;04;08;Manosque-2;3;10154;10435
93;Provence-Alpes-Côte d'Azur;04;09;Manosque-3;3;12172;12633
93;Provence-Alpes-Côte d'Azur;04;10;Oraison;3;13890;14085
93;Provence-Alpes-Côte d'Azur;04;11;Reillanne;21;10901;11107
93;Provence-Alpes-Côte d'Azur;04;12;Riez;26;9315;9574
93;Provence-Alpes-Côte d'Azur;04;13;Seyne;34;8403;8596
93;Provence-Alpes-Côte d'Azur;04;14;Sisteron;15;12979;13399
93;Provence-Alpes-Côte d'Azur;04;15;Valensole;10;8706;8892
93;Provence-Alpes-Côte d'Azur;05;01;L' Argentière-la-Bessée;8;6623;6840
93;Provence-Alpes-Côte d'Azur;05;02;Briançon-1;10;8688;8957
93;Provence-Alpes-Côte d'Azur;05;03;Briançon-2;4;10858;11174
93;Provence-Alpes-Côte d'Azur;05;04;Chorges;17;10933;11191
93;Provence-Alpes-Côte d'Azur;05;05;Embrun;8;11003;11538
93;Provence-Alpes-Côte d'Azur;05;06;Gap-1;1;10343;10656
93;Provence-Alpes-Côte d'Azur;05;07;Gap-2;1;10450;11030
93;Provence-Alpes-Côte d'Azur;05;08;Gap-3;1;10055;10329
93;Provence-Alpes-Côte d'Azur;05;09;Gap-4;1;9711;10099
93;Provence-Alpes-Côte d'Azur;05;10;Guillestre;15;8031;8237
93;Provence-Alpes-Côte d'Azur;05;11;Laragne-Montéglin;11;7807;7987
93;Provence-Alpes-Côte d'Azur;05;12;Saint-Bonnet-en-Champsaur;25;11169;11544
93;Provence-Alpes-Côte d'Azur;05;13;Serres;37;7560;7730
93;Provence-Alpes-Côte d'Azur;05;14;Tallard;19;10566;10854
93;Provence-Alpes-Côte d'Azur;05;15;Veynes;8;6901;7143
93;Provence-Alpes-Côte d'Azur;06;01;Antibes-1;2;38123;38421
93;Provence-Alpes-Côte d'Azur;06;02;Antibes-2;1;30169;30452
93;Provence-Alpes-Côte d'Azur;06;03;Antibes-3;2;35848;36659
93;Provence-Alpes-Côte d'Azur;06;04;Beausoleil;7;33680;34075
93;Provence-Alpes-Côte d'Azur;06;05;Cagnes-sur-Mer-1;1;42930;43289
93;Provence-Alpes-Côte d'Azur;06;06;Cagnes-sur-Mer-2;3;43808;44214
93;Provence-Alpes-Côte d'Azur;06;07;Cannes-1;2;47397;47833
93;Provence-Alpes-Côte d'Azur;06;08;Cannes-2;1;40549;41057
93;Provence-Alpes-Côte d'Azur;06;09;Le Cannet;2;46979;47633
93;Provence-Alpes-Côte d'Azur;06;10;Contes;20;36844;37302
93;Provence-Alpes-Côte d'Azur;06;11;Grasse-1;19;44168;45037
93;Provence-Alpes-Côte d'Azur;06;12;Grasse-2;2;39417;40325
93;Provence-Alpes-Côte d'Azur;06;13;Mandelieu-la-Napoule;5;39789;40337
93;Provence-Alpes-Côte d'Azur;06;14;Menton;6;47443;48193
93;Provence-Alpes-Côte d'Azur;06;15;Nice-1;1;42242;42647
93;Provence-Alpes-Côte d'Azur;06;16;Nice-2;1;47943;48303
93;Provence-Alpes-Côte d'Azur;06;17;Nice-3;4;42041;42468
93;Provence-Alpes-Côte d'Azur;06;18;Nice-4;1;42115;42527
93;Provence-Alpes-Côte d'Azur;06;19;Nice-5;1;45789;46086
93;Provence-Alpes-Côte d'Azur;06;20;Nice-6;1;41458;42057
93;Provence-Alpes-Côte d'Azur;06;21;Nice-7;3;40160;40382
93;Provence-Alpes-Côte d'Azur;06;22;Nice-8;1;39043;39187
93;Provence-Alpes-Côte d'Azur;06;23;Nice-9;1;33842;34123
93;Provence-Alpes-Côte d'Azur;06;24;Tourrette-Levens;28;35841;36748
93;Provence-Alpes-Côte d'Azur;06;25;Valbonne;12;37388;38634
93;Provence-Alpes-Côte d'Azur;06;26;Vence;47;37280;37884
93;Provence-Alpes-Côte d'Azur;06;27;Villeneuve-Loubet;4;33933;34571
84;Auvergne-Rhône-Alpes;07;01;Annonay-1;7;20026;20731
84;Auvergne-Rhône-Alpes;07;02;Annonay-2;10;16280;16752
84;Auvergne-Rhône-Alpes;07;03;Aubenas-1;15;17520;18162
84;Auvergne-Rhône-Alpes;07;04;Aubenas-2;15;20698;21561
84;Auvergne-Rhône-Alpes;07;12;Berg-Helvie;19;21566;22118
84;Auvergne-Rhône-Alpes;07;05;Bourg-Saint-Andéol;9;18914;19330
84;Auvergne-Rhône-Alpes;07;16;Les Cévennes Ardéchoises;35;18667;19064
84;Auvergne-Rhône-Alpes;07;07;Guilherand-Granges;5;21789;22304
84;Auvergne-Rhône-Alpes;07;06;Haut-Eyrieux;44;17943;18496
84;Auvergne-Rhône-Alpes;07;08;Haut-Vivarais;31;21449;21879
84;Auvergne-Rhône-Alpes;07;13;Haute-Ardèche;40;13914;14219
84;Auvergne-Rhône-Alpes;07;09;Le Pouzin;13;16655;17004
84;Auvergne-Rhône-Alpes;07;10;Privas;15;20545;21276
84;Auvergne-Rhône-Alpes;07;17;Rhône-Eyrieux;17;22602;23046
84;Auvergne-Rhône-Alpes;07;11;Sarras;19;16073;16426
84;Auvergne-Rhône-Alpes;07;14;Tournon-sur-Rhône;13;21061;21825
84;Auvergne-Rhône-Alpes;07;15;Vallon-Pont-d'Arc;30;20904;21378
44;Grand Est;08;01;Attigny;80;12429;12781
