DEPP;CODCOMP;COMP;DEP;CODCOM;COM;PMUN;PCAP;PTOT
01;015;Arboys en Bugey;01;015;Arbignieu;509;13;522
01;025;Bâgé-Dommartin;01;025;Bâgé-la-Ville;3188;76;3264
01;033;Valserhône;01;033;Bellegarde-sur-Valserine;11450;258;11708
01;036;Valromey-sur-Séran;01;036;Belmont-Luthézieu;606;7;613
01;453;Arvière-en-Valromey;01;059;Brénaz;105;0;105
01;080;Champdor-Corcelles;01;080;Champdor;441;6;447
01;033;Valserhône;01;091;Châtillon-en-Michaille;3923;80;4003
01;095;Nivigne et Suran;01;095;Chavannes-sur-Suran;673;7;680
01;453;Arvière-en-Valromey;01;097;Chavornay;226;9;235
01;098;Chazey-Bons;01;098;Chazey-Bons;989;33;1022
01;080;Champdor-Corcelles;01;119;Corcelles;202;8;210
01;262;Montluel;01;120;Cordieux;540;8;548
01;185;Plateau d'Hauteville;01;122;Cormaranche-en-Bugey;829;65;894
01;130;Bresse Vallons;01;130;Cras-sur-Reyssouze;1501;24;1525
01;426;Val-Revermont;01;137;Cuisiat;595;14;609
01;025;Bâgé-Dommartin;01;144;Dommartin;890;31;921
01;130;Bresse Vallons;01;154;Étrez;806;20;826
01;095;Nivigne et Suran;01;172;Germagnat;145;4;149
01;187;Haut Valromey;01;176;Grand-Abergement;121;4;125
01;338;Groslée-Saint-Benoit;01;182;Groslée;363;9;372
01;185;Plateau d'Hauteville;01;185;Hauteville-Lompnes;3652;103;3755
01;185;Plateau d'Hauteville;01;186;Hostiaz;87;0;87
01;187;Haut Valromey;01;187;Hotonnes;272;9;281
01;204;Le Poizat-Lalleyriat;01;204;Lalleyriat;251;8;259
01;033;Valserhône;01;205;Lancrans;1058;31;1089
01;215;Surjoux-Lhopital;01;215;Lhôpital;52;0;52
01;453;Arvière-en-Valromey;01;218;Lochieu;86;2;88
01;036;Valromey-sur-Séran;01;221;Lompnieu;121;1;122
01;227;Magnieu;01;227;Magnieu;496;11;507
01;286;Parves et Nattages;01;271;Nattages;589;25;614
01;286;Parves et Nattages;01;286;Parves;357;13;370
01;187;Haut Valromey;01;292;Petit-Abergement;127;3;130
01;204;Le Poizat-Lalleyriat;01;300;Poizat;478;7;485
01;426;Val-Revermont;01;312;Pressiat;263;2;265
01;098;Chazey-Bons;01;316;Pugieu;155;4;159
01;245;Bohas-Meyriat-Rignat;01;324;Rignat;259;2;261
01;338;Groslée-Saint-Benoit;01;338;Saint-Benoît;840;27;867
01;015;Arboys en Bugey;01;340;Saint-Bois;138;4;142
01;227;Magnieu;01;341;Saint-Champ;147;3;150
01;187;Haut Valromey;01;409;Songieu;123;6;129
01;215;Surjoux-Lhopital;01;413;Surjoux;85;3;88
01;036;Valromey-sur-Séran;01;414;Sutrieu;207;7;214
01;185;Plateau d'Hauteville;01;417;Thézillieu;288;9;297
01;426;Val-Revermont;01;426;Treffort;1712;43;1755
01;036;Valromey-sur-Séran;01;442;Vieu;386;4;390
01;453;Arvière-en-Valromey;01;453;Virieu-le-Petit;292;11;303
02;018;Anizy-le-Grand;02;018;Anizy-le-Château;1931;39;1970
02;458;Dhuys et Morin-en-Brie;02;026;Artonges;161;4;165
02;053;Vallées en Champagne;02;053;Baulne-en-Brie;264;2;266
02;458;Dhuys et Morin-en-Brie;02;147;Celle-sous-Montmirail;119;1;120
02;153;Cessières-Suzy;02;153;Cessières;433;10;443
02;053;Vallées en Champagne;02;161;Chapelle-Monthodon;202;4;206
59;545;Saint-Souplet;02;285;Escaufourt;174;5;179
02;738;Tergnier;02;300;Fargniers;3392;59;3451
02;018;Anizy-le-Grand;02;301;Faucoucourt;328;7;335
02;458;Dhuys et Morin-en-Brie;02;325;Fontenelle-en-Brie;201;3;204
02;439;Septvallons;02;348;Glennes;209;4;213
02;360;Villeneuve-sur-Aisne;02;360;Guignicourt;2211;32;2243
02;018;Anizy-le-Grand;02;434;Lizy;283;7;290
02;439;Septvallons;02;439;Longueval-Barbonval;492;8;500
02;458;Dhuys et Morin-en-Brie;02;458;Marchais-en-Brie;338;9;347
02;360;Villeneuve-sur-Aisne;02;475;Menneville;511;7;518
02;439;Septvallons;02;479;Merval;133;0;133
02;439;Septvallons;02;597;Perles;79;3;82
02;738;Tergnier;02;630;Quessy;2950;28;2978
02;439;Septvallons;02;646;Révillon;68;3;71
02;053;Vallées en Champagne;02;669;Saint-Agnan;104;0;104
02;153;Cessières-Suzy;02;733;Suzy;332;10;342
02;439;Septvallons;02;771;Vauxcéré;67;0;67
02;439;Septvallons;02;811;Villers-en-Prayères;133;2;135
02;738;Tergnier;02;825;Vouël;2251;50;2301
03;158;Haut-Bocage;03;123;Givarlais;212;5;217
03;158;Haut-Bocage;03;153;Louroux-Hodement;353;8;361
03;158;Haut-Bocage;03;158;Maillet;314;6;320
03;168;Meaulne-Vitray;03;168;Meaulne;770;13;783
03;168;Meaulne-Vitray;03;318;Vitray;134;2;136
04;081;Esparron-de-Verdon;04;003;Albiosc;38;0;38
04;136;La Mure-Argens;04;010;Argens;12;0;12
04;023;Bayons;04;011;Astoin;7;0;7
04;155;Prads-Haute-Bléone;04;029;Blégiers;70;0;70
04;033;Ubaye-Serre-Ponçon;04;033;Bréole;379;11;390
04;144;La Palud-sur-Verdon;04;052;Châteauneuf-lès-Moustiers;56;0;56
04;023;Bayons;04;082;Esparron-la-Bâtie;11;0;11
04;120;Val d'Oronaye;04;100;Larche;57;0;57
04;192;Saint-Michel-l'Observatoire;04;105;Lincel;220;5;225
04;120;Val d'Oronaye;04;120;Meyronnes;62;1;63
04;124;Montagnac-Montpezat;04;131;Montpezat;35;0;35
04;204;Senez;04;153;Poil;3;1;4
04;023;Bayons;04;165;Reynier;12;0;12
04;033;Ubaye-Serre-Ponçon;04;198;Saint-Vincent-les-Forts;375;8;383
05;001;Abriès-Ristolas;05;001;Abriès;295;6;301
05;139;Dévoluy;05;002;Agnières-en-Dévoluy;284;9;293
05;118;Val Buëch-Méouge;05;005;Antonaves;143;3;146
05;132;Saint-Bonnet-en-Champsaur;05;020;Bénévent-et-Charbillac;287;11;298
05;024;Valdoule;05;024;Bruis;79;3;82
05;118;Val Buëch-Méouge;05;034;Châteauneuf-de-Chabre;378;7;385
05;139;Dévoluy;05;042;Cluse;53;0;53
05;053;Garde-Colombe;05;053;Eyguians;240;6;246
05;132;Saint-Bonnet-en-Champsaur;05;067;Infournas;29;0;29
05;053;Garde-Colombe;05;069;Lagrand;236;4;240
05;024;Valdoule;05;088;Montmorin;105;5;110
05;101;Vallouise-Pelvoux;05;101;Pelvoux;430;11;441
05;118;Val Buëch-Méouge;05;118;Ribiers;824;18;842
05;001;Abriès-Ristolas;05;120;Ristolas;89;0;89
05;061;Gap;05;125;Romette;1642;46;1688
05;132;Saint-Bonnet-en-Champsaur;05;132;Saint-Bonnet-en-Champsaur;1732;64;1796
05;139;Dévoluy;05;138;Saint-Disdier;115;2;117
05;139;Dévoluy;05;139;Saint-Étienne-en-Dévoluy;489;16;505
05;053;Garde-Colombe;05;143;Saint-Genis;54;1;55
05;024;Valdoule;05;150;Sainte-Marie;37;0;37
05;101;Vallouise-Pelvoux;05;175;Vallouise;748;30;778
07;011;Vallées-d'Antraigues-Asperjoc;07;011;Antraigues-sur-Volane;531;9;540
07;011;Vallées-d'Antraigues-Asperjoc;07;016;Asperjoc;389;10;399
07;334;Les Vans;07;043;Brahic;89;2;91
07;031;Berrias-et-Casteljau;07;046;Casteljau;307;11;318
07;334;Les Vans;07;057;Chassagnes;190;3;193
07;262;Saint-Laurent-les-Bains-Laval-d'Aurelle;07;135;Laval-d'Aurelle;36;0;36
07;334;Les Vans;07;164;Naves;556;20;576
07;165;Belsentes;07;165;Nonières;215;8;223
07;284;Saint-Pierre-Saint-Jean;07;246;Saint-Jean-de-Pourcharesse;69;1;70
07;165;Belsentes;07;256;Saint-Julien-Labrousse;336;14;350
07;262;Saint-Laurent-les-Bains-Laval-d'Aurelle;07;262;Saint-Laurent-les-Bains;138;2;140
07;270;Saint-Martin-sur-Lavezon;07;271;Saint-Martin-l'Inférieur;178;6;184
08;116;Bairon et ses environs;08;007;Alleux;77;1;78
08;311;Mouzon;08;009;Amblimont;216;1;217
08;437;Tailly;08;012;Andevanne;21;0;21
