CODREG;REG;CODDEP;CODCOM;COM;CODFRAC_CAN;FRAC_CAN;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;Bourg-en-Bresse-1;28813;1116;29929
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;Bourg-en-Bresse-2;12435;642;13077
84;Auvergne-Rhône-Alpes;01;338;Groslée-Saint-Benoit;04;Belley;840;27;867
84;Auvergne-Rhône-Alpes;01;338;Groslée-Saint-Benoit;11;Lagnieu;363;9;372
32;Hauts-de-France;02;408;Laon;09;Laon-1;8934;175;9109
32;Hauts-de-France;02;408;Laon;10;Laon-2;15776;492;16268
32;Hauts-de-France;02;691;Saint-Quentin;13;Saint-Quentin-1;19379;415;19794
32;Hauts-de-France;02;691;Saint-Quentin;14;Saint-Quentin-2;18231;587;18818
32;Hauts-de-France;02;691;Saint-Quentin;15;Saint-Quentin-3;16246;258;16504
32;Hauts-de-France;02;722;Soissons;16;Soissons-1;11016;174;11190
32;Hauts-de-France;02;722;Soissons;17;Soissons-2;17506;477;17983
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;Montluçon-1;3663;49;3712
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;Montluçon-2;11674;490;12164
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;Montluçon-3;9970;254;10224
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;Montluçon-4;9631;284;9915
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;Moulins-1;10751;372;11123
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;Moulins-2;8812;182;8994
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;Vichy-1;12342;149;12491
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;Vichy-2;12512;181;12693
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;Digne-les-Bains-1;10144;550;10694
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;Digne-les-Bains-2;6189;357;6546
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;Manosque-1;8027;116;8143
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;Manosque-2;6889;205;7094
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;09;Manosque-3;7569;351;7920
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;02;Briançon-1;1666;52;1718
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;03;Briançon-2;9418;270;9688
93;Provence-Alpes-Côte d'Azur;05;061;Gap;06;Gap-1;10343;313;10656
93;Provence-Alpes-Côte d'Azur;05;061;Gap;07;Gap-2;10450;580;11030
93;Provence-Alpes-Côte d'Azur;05;061;Gap;08;Gap-3;10055;274;10329
93;Provence-Alpes-Côte d'Azur;05;061;Gap;09;Gap-4;9711;388;10099
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;01;Antibes-1;11051;121;11172
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;02;Antibes-2;30169;283;30452
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;03;Antibes-3;26102;460;26562
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;25;Valbonne;5593;268;5861
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;05;Cagnes-sur-Mer-1;42930;359;43289
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;06;Cagnes-sur-Mer-2;8481;125;8606
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;07;Cannes-1;33416;311;33727
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;08;Cannes-2;40549;508;41057
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;07;Cannes-1;13981;125;14106
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;09;Le Cannet;27490;228;27718
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;11;Grasse-1;19359;327;19686
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;12;Grasse-2;29506;612;30118
93;Provence-Alpes-Côte d'Azur;06;088;Nice;15;Nice-1;42242;405;42647
93;Provence-Alpes-Côte d'Azur;06;088;Nice;16;Nice-2;47943;360;48303
93;Provence-Alpes-Côte d'Azur;06;088;Nice;17;Nice-3;24002;229;24231
93;Provence-Alpes-Côte d'Azur;06;088;Nice;18;Nice-4;42115;412;42527
93;Provence-Alpes-Côte d'Azur;06;088;Nice;19;Nice-5;45789;297;46086
93;Provence-Alpes-Côte d'Azur;06;088;Nice;20;Nice-6;41458;599;42057
93;Provence-Alpes-Côte d'Azur;06;088;Nice;21;Nice-7;24598;130;24728
93;Provence-Alpes-Côte d'Azur;06;088;Nice;22;Nice-8;39043;144;39187
93;Provence-Alpes-Côte d'Azur;06;088;Nice;23;Nice-9;33842;281;34123
84;Auvergne-Rhône-Alpes;07;010;Annonay;01;Annonay-1;9733;405;10138
84;Auvergne-Rhône-Alpes;07;010;Annonay;02;Annonay-2;6555;219;6774
84;Auvergne-Rhône-Alpes;07;019;Aubenas;03;Aubenas-1;6941;410;7351
84;Auvergne-Rhône-Alpes;07;019;Aubenas;04;Aubenas-2;5312;363;5675
44;Grand Est;08;105;Charleville-Mézières;04;Charleville-Mézières-1;10224;184;10408
44;Grand Est;08;105;Charleville-Mézières;05;Charleville-Mézières-2;8774;187;8961
44;Grand Est;08;105;Charleville-Mézières;06;Charleville-Mézières-3;14060;573;14633
44;Grand Est;08;105;Charleville-Mézières;07;Charleville-Mézières-4;13333;184;13517
44;Grand Est;08;115;Chémery-Chéhéry;14;Sedan-1;120;0;120
44;Grand Est;08;115;Chémery-Chéhéry;19;Vouziers;441;4;445
44;Grand Est;08;409;Sedan;14;Sedan-1;5467;138;5605
44;Grand Est;08;409;Sedan;15;Sedan-2;4827;130;4957
44;Grand Est;08;409;Sedan;16;Sedan-3;5899;80;5979
44;Grand Est;08;490;Vouziers ;01;Attigny;312;6;318
44;Grand Est;08;490;Vouziers ;19;Vouziers;4027;144;4171
76;Occitanie;09;225;Pamiers;07;Pamiers-1;5856;153;6009
76;Occitanie;09;225;Pamiers;08;Pamiers-2;9747;322;10069
44;Grand Est;10;387;Troyes;12;Troyes-1;20987;306;21293
44;Grand Est;10;387;Troyes;13;Troyes-2;6976;60;7036
44;Grand Est;10;387;Troyes;14;Troyes-3;8909;374;9283
44;Grand Est;10;387;Troyes;15;Troyes-4;6490;24;6514
44;Grand Est;10;387;Troyes;16;Troyes-5;18634;364;18998
76;Occitanie;11;069;Carcassonne;02;Carcassonne-1;14998;484;15482
76;Occitanie;11;069;Carcassonne;03;Carcassonne-2;14305;484;14789
76;Occitanie;11;069;Carcassonne;04;Carcassonne-3;17210;314;17524
76;Occitanie;11;262;Narbonne;11;Narbonne-1;20980;316;21296
76;Occitanie;11;262;Narbonne;12;Narbonne-2;15856;439;16295
76;Occitanie;11;262;Narbonne;13;Narbonne-3;18539;420;18959
76;Occitanie;12;145;Millau;11;Millau-1;11418;442;11860
76;Occitanie;12;145;Millau;12;Millau-2;10584;226;10810
76;Occitanie;12;202;Rodez;16;Rodez-1;12010;1001;13011
76;Occitanie;12;202;Rodez;17;Rodez-2;10174;849;11023
76;Occitanie;12;202;Rodez;18;Rodez-Onet;2135;43;2178
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;01;Aix-en-Provence-1;73191;2063;75254
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;02;Aix-en-Provence-2;69906;1122;71028
93;Provence-Alpes-Côte d'Azur;13;203;Marseille 3e Arrondissement;12;Marseille-1;5759;12;5771
