numero_uai,name_entity,Secteur,id_type,code_academy,id_town
0010670Y,Ecole primaire,Public,151,10,1001
0010076C,Collège privé Sainte Marie,Privé,340,10,1004
0010093W,Ecole primaire privée Sainte Marie,Privé,151,10,1004
0011207G,Ecole élémentaire Jules Ferry,Public,151,10,1004
0010442A,Ecole maternelle Jules Ferry,Public,101,10,1004
0010001W,Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat,Public,320,10,1004
0011194T,Lycée général et technologique de la Plaine de l'Ain,Public,300,10,1004
0011253G,Ecole maternelle Le Tiret,Public,101,10,1004
0011265V,Ecole élémentaire Jean Jaurès,Public,151,10,1004
0010445D,Ecole maternelle Jean Jaurès,Public,101,10,1004
0011084Y,Ecole primaire Jean de Paris,Public,151,10,1004
0010002X,Collège Saint-Exupéry,Public,340,10,1004
0011227D,Ecole primaire,Public,151,10,1005
0011270A,Ecole élémentaire Olympe de Gouges,Public,151,10,1007
0011075N,Ecole maternelle,Public,101,10,1007
0010469E,Ecole primaire,Public,151,10,1008
0010210Y,Ecole primaire,Public,151,10,1010
0010143A,Ecole primaire,Public,151,10,1011
0010237C,Ecole Primaire,Public,151,10,1012
0010566K,Ecole primaire,Public,151,10,1013
0010160U,Ecole élémentaire Bernard Clavel,Public,151,10,1014
0011043D,Ecole maternelle Village,Public,101,10,1014
0011141K,Ecole maternelle Françoise Dolto,Public,101,10,1014
0010987T,Collège Jean Rostand,Public,340,10,1014
0010159T,Ecole élémentaire Le Planet,Public,151,10,1014
0010611J,Ecole primaire,Public,151,10,1015
0010567L,Ecole primaire,Public,151,10,1017
0011389E,Ecole primaire publique,Public,151,10,1021
0011138G,Ecole primaire privée,Privé,151,10,1021
0011076P,Ecole maternelle,Public,101,10,1022
0010794H,Collège du Valromey,Public,340,10,1022
0010228T,Ecole élémentaire,Public,151,10,1022
0010253V,Ecole primaire privée,Privé,151,10,1024
0011316A,Ecole primaire,Public,151,10,1024
0010369W,Ecole primaire,Public,151,10,1025
0011332T,Ecole élémentaire,Public,151,10,1025
0011226C,Ecole maternelle Jacques Prévert,Public,101,10,1025
0010005A,Collège Roger Poulnard,Public,340,10,1025
0011074M,Maison Familiale Rurale de Bâgé-le-Châtel,Privé,380,10,1026
0010386P,Ecole primaire,Public,151,10,1026
0011205E,Ecole maternelle Les Lilas,Public,101,10,1027
0010496J,Ecole élémentaire L'Orée du Bois,Public,151,10,1027
0010425G,Ecole primaire,Public,151,10,1028
0010920V,Ecole élémentaire,Public,151,10,1029
0011113E,Ecole primaire,Public,151,10,1030
0011168P,Ecole élémentaire Pré des Saules,Public,151,10,1031
0011165L,Ecole maternelle Pré des Saules,Public,101,10,1031
0010922X,Ecole élémentaire Les Sources,Public,151,10,1031
0011119L,Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages,Public,306,10,1031
0011411D,Section d'enseignement professionnel du Lycée polyvalent Arbez Carme,Public,334,10,1031
0010921W,Ecole maternelle Les Sources,Public,101,10,1031
0011228E,Ecole maternelle Le Petit Poucet,Public,101,10,1032
0011266W,Le chat botté,Public,151,10,1032
0011036W,Ecole primaire René Rendu,Public,151,10,1033
0011224A,Ecole primaire Marius Pinard,Public,151,10,1033
0010605C,Ecole primaire,Public,151,10,1033
0011347J,Section d'enseignement professionnel du Lycée polyvalent Saint-Exupéry,Public,334,10,1033
0010008D,Collège Saint-Exupéry,Public,340,10,1033
0011066D,Collège Louis Dumont,Public,340,10,1033
0010879A,Ecole primaire Les Montagniers,Public,151,10,1033
0010977G,Ecole primaire Le Bois des Pesses,Public,151,10,1033
0011087B,Ecole primaire Arlod,Public,151,10,1033
0011208H,Ecole primaire Le Grand Clos,Public,151,10,1033
0011334V,Section d'enseignement général et professionnel adapté du Collège Saint-Exupéry,Public,390,10,1033
0010006B,Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment,Public,306,10,1033
0011364C,Ecole primaire publique Pierre Longue,Public,151,10,1033
0010592N,Ecole primaire,Public,151,10,1033
0011010T,Lycée professionnel du Bugey,Public,320,10,1034
0011258M,Lycée professionnel privé Ensemble scolaire Lamartine,Privé,320,10,1034
0010268L,Ecole primaire privée Sainte Anne,Privé,151,10,1034
0010607E,Ecole élémentaire Jean Ferrat,Public,151,10,1034
0011366E,Section d'enseignement général et professionnel adapté du Collège du Sabine Zlatin,Public,390,10,1034
0010010F,Lycée général et technologique du Bugey,Public,300,10,1034
0010069V,Lycée général et technologique privé Ensemble scolaire Lamartine,Privé,300,10,1034
0010606D,Ecole élémentaire Les Charmilles,Public,151,10,1034
0010608F,Ecole maternelle,Public,101,10,1034
0010991X,Ecole maternelle La Rodette,Public,101,10,1034
0011067E,Collège Sabine Zlatin,Public,340,10,1034
0011150V,Collège privé Ensemble scolaire Lamartine,Privé,340,10,1034
0010489B,Ecole primaire,Public,151,10,1037
0010694Z,Ecole primaire,Public,151,10,1038
0010227S,Ecole primaire,Public,151,10,1039
0010709R,Ecole élémentaire,Public,151,10,1040
0010448G,Ecole primaire,Public,151,10,1041
0011094J,Ecole élémentaire,Public,151,10,1043
0011095K,Ecole maternelle,Public,101,10,1043
0011360Y,Collège Louis Armstrong,Public,340,10,1043
0010590L,Ecole primaire,Public,151,10,1044
0010671Z,Ecole élémentaire,Public,151,10,1046
0010881C,Ecole primaire,Public,151,10,1047
0011326L,Lycée général de la Côtière,Public,300,10,1049
0010505U,Ecole élémentaire,Public,151,10,1049
0010506V,Ecole maternelle,Public,101,10,1049
0010731P,Ecole élémentaire,Public,151,10,1050
0010013J,Lycée général Lalande,Public,302,10,1053
0010018P,Collège du Revermont,Public,340,10,1053
0010099C,Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique,Privé,320,10,1053
0010193E,Ecole primaire Lazare Carnot,Public,151,10,1053
0010197J,Ecole maternelle Charles Robin,Public,101,10,1053
0010270N,Ecole primaire privée Notre-Dame,Privé,151,10,1053
0010777P,Ecole maternelle Brou,Public,101,10,1053
0011086A,Ecole élémentaire Les Lilas,Public,151,10,1053
0011256K,Ecole privée Silvya Terrade - Bourg-en-Bresse,Privé,320,10,1053
0011271B,Ecole primaire d'application Les Vennes,Public,153,10,1053
0011447T,Ecole Montessori Les chemins de traverse,Privé,151,10,1053
0011034U,Ecole primaire Charles Jarrin,Public,151,10,1053
0011117J,Ecole Primaire Les Arbelles,Public,151,10,1053
0011289W,Ecole primaire privée Saint Louis-Saint Vincent,Privé,151,10,1053
0010776N,Ecole élémentaire de Brou,Public,151,10,1053
0011108Z,Ecole élémentaire Charles Robin,Public,151,10,1053
0011148T,Ecole primaire Charles Péguy,Public,151,10,1053
0010070W,Lycée général et technologique privé Saint Pierre,Privé,300,10,1053
0010986S,Ecole primaire Saint-Exupéry,Public,151,10,1053
0010079F,Collège privé Saint Joseph,Privé,340,10,1053
0010819K,"Lycée d'enseignement général, technologique et professionnel agricole de Bourg-en-Bresse",Public,307,10,1053
0010016M,Lycée polyvalent Joseph-Marie Carriat,Public,306,10,1053
0011118K,"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté",Public,320,10,1053
0010017N,Section d'enseignement professionnel du Lycée polyvalent Carriat,Public,334,10,1053
0010021T,Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir,Public,320,10,1053
0011275F,Collège Thomas Riboud,Public,340,10,1053
0011369H,Ecole primaire publique Alphonse Daudet,Public,151,10,1053
0010774L,Ecole primaire  Alphonse Baudin,Public,151,10,1053
0011367F,Ecole primaire publique l'Alagnier,Public,151,10,1053
0011368G,Ecole primaire d'application Le Peloux,Public,153,10,1053
0010014K,Lycée général et technologique Edgar Quinet,Public,300,10,1053
0010988U,Section d'enseignement général et professionnel adapté du Collège Victoire Daubié,Public,390,10,1053
0010269M,Ecole primaire privée Jeanne d'Arc,Privé,151,10,1053
0010803T,Ecole primaire Louis Parant,Public,151,10,1053
0010972B,Ecole élémentaire Les Dîmes,Public,151,10,1053
0011176Y,Ecole primaire d'application Charles Perrault,Public,153,10,1053
0010080G,Collège privé Jeanne d'Arc,Privé,340,10,1053
0010082J,Collège privé Saint-Pierre,Privé,340,10,1053
0010287G,Ecole primaire privée Sainte Marie,Privé,151,10,1053
0010971A,Ecole maternelle Les Dîmes,Public,101,10,1053
0010974D,Collège Victoire Daubié,Public,340,10,1053
0010823P,Collège de Brou,Public,340,10,1053
0010966V,Etablissement régional d'enseignement adapté Philibert Commerson,Public,370,10,1053
0010508X,Ecole primaire,Public,151,10,1054
0010732R,Ecole élémentaire,Public,151,10,1057
0010613L,Ecole primaire,Public,151,10,1058
0010439X,Ecole primaire,Public,151,10,1060
0010614M,Ecole primaire,Public,151,10,1061
0010501P,ECOLE ELEMENTAIRE PUBLIQUE,Public,151,10,1062
0010144B,Ecole primaire,Public,151,10,1063
0011429Y,Collège De Briord,Public,340,10,1064
0011297E,Ecole primaire,Public,151,10,1064
0011232J,Ecole primaire Les Condamines,Public,151,10,1065
0010647Y,Ecole primaire,Public,151,10,1068
0010543K,Ecole primaire Edgar Quinet,Public,151,10,1069
0011340B,Ecole élémentaire,Public,151,10,1071
0010878Z,Lycée polyvalent privé Jeanne d'Arc,Privé,306,10,1071
0011339A,Ecole maternelle,Public,101,10,1071
0011336X,Section d'enseignement professionnel du Lycée polyvalent privé Jeanne d'Arc,Privé,334,10,1071
0011177Z,Ecole élémentaire,Public,151,10,1072
0010898W,Ecole maternelle,Public,101,10,1072
0011387C,Collège Lucie Aubrac,Public,340,10,1072
0010222L,Ecole primaire,Public,151,10,1073
0011317B,Ecole primaire,Public,151,10,1074
0010427J,Ecole primaire,Public,151,10,1075
0010418Z,Ecole primaire,Public,151,10,1078
0011282N,Ecole primaire privée Montessori,Privé,151,10,1079
0010230V,Ecole primaire,Public,151,10,1079
0010407M,Ecole primaire,Public,151,10,1080
0010404J,Ecole primaire,Public,151,10,1080
0010591M,Ecole primaire,Public,151,10,1081
0010211Z,Ecole primaire,Public,151,10,1082
0010428K,Ecole primaire,Public,151,10,1083
0010672A,Ecole élémentaire,Public,151,10,1084
0010145C,Ecole élémentaire,Public,151,10,1087
0010512B,Ecole primaire,Public,151,10,1088
0011428X,Ecole primaire privée Des Essentiels,Privé,151,10,1089
0010449H,Ecole primaire,Public,151,10,1089
0010456R,Ecole élémentaire,Public,151,10,1090
0010457S,Ecole primaire La Pépinière,Public,151,10,1092
0010084L,Collège privé Saint Charles,Privé,340,10,1093
0010821M,Collège Eugène Dubois,Public,340,10,1093
0010020S,Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques,Public,320,10,1093
0010296S,Ecole primaire privée Saint Charles,Privé,151,10,1093
0011033T,Ecole élémentaire,Public,151,10,1093
0011167N,Ecole maternelle,Public,101,10,1093
0010733S,Ecole élémentaire,Public,151,10,1094
0010657J,Ecole primaire,Public,151,10,1095
0010673B,Ecole primaire,Public,151,10,1096
0010615N,Ecole primaire,Public,151,10,1098
0011344F,Ecole primaire,Public,151,10,1099
0010735U,Ecole primaire,Public,151,10,1102
0010297T,Ecole primaire privée Sainte Marie,Privé,151,10,1103
0011440K,Ecole maternelle privée bilingue Montessori Les Tournesols,Privé,101,10,1103
0010130L,Ecole primaire Françoise Dolto,Public,151,10,1103
0010390U,Ecole primaire,Public,151,10,1104
0010244K,Ecole primaire,Public,151,10,1105
0011327M,Ecole primaire,Public,151,10,1108
0011071J,Collège Le Grand Cèdre,Public,340,10,1108
0010416X,Ecole primaire,Public,151,10,1109
0010406L,Ecole primaire,Public,151,10,1112
0010675D,Ecole primaire,Public,151,10,1113
0010391V,Ecole primaire,Public,151,10,1114
0010710S,Ecole primaire,Public,151,10,1115
0010224N,Ecole primaire,Public,151,10,1116
0010213B,Ecole primaire,Public,151,10,1118
0011308S,Ecole primaire,Public,151,10,1123
0010321U,Ecole primaire,Public,151,10,1124
0010658K,Ecole primaire,Public,151,10,1125
0010715X,Ecole primaire,Public,151,10,1130
0010712U,Ecole primaire,Public,151,10,1130
0010616P,Ecole primaire,Public,151,10,1133
0010334H,Ecole primaire,Public,151,10,1134
0010131M,Ecole primaire Les Chardons Bleus,Public,151,10,1135
0010336K,Ecole primaire,Public,151,10,1136
0010022U,Collège Henry Dunant,Public,340,10,1138
0010216E,Ecole maternelle,Public,101,10,1138
0011269Z,Ecole élémentaire Milvendre,Public,151,10,1138
0010928D,Ecole primaire,Public,151,10,1139
0010714W,Ecole élémentaire,Public,151,10,1140
0010299V,Ecole primaire privée Saint Louis,Privé,151,10,1142
0011089D,Ecole élémentaire,Public,151,10,1142
0010083K,Collège privé Saint Louis,Privé,340,10,1142
0011079T,Ecole maternelle,Public,101,10,1142
0011142L,Collège Marcel Aymé,Public,340,10,1142
0011011U,Collège Marcel Anthonioz,Public,340,10,1143
0011406Y,Ecole primaire Guy de Maupassant,Public,151,10,1143
0010134R,Ecole maternelle Centre,Public,101,10,1143
0011107Y,Ecole élémentaire Centre,Public,151,10,1143
0011218U,Ecole primaire Arbère,Public,151,10,1143
0011423S,Ecole Les Tournesols,Privé,101,10,1143
0010960N,Ecole primaire,Public,151,10,1145
0010695A,Ecole primaire,Public,151,10,1147
0010886H,Ecole maternelle,Public,101,10,1148
0010165Z,Ecole élémentaire,Public,151,10,1148
0010450J,Ecole primaire,Public,151,10,1149
0010750K,Ecole élémentaire,Public,151,10,1150
0010547P,Ecole primaire,Public,151,10,1151
0011214P,Ecole primaire,Public,151,10,1152
0010137U,Ecole primaire Clément Chazalet,Public,151,10,1153
0010571R,Ecole élémentaire,Public,151,10,1155
0010513C,Ecole élémentaire,Public,151,10,1156
0011097M,Ecole maternelle,Public,101,10,1157
0011209J,Ecole élémentaire,Public,151,10,1157
0010392W,Ecole primaire Roger Vailland,Public,151,10,1158
0011362A,Ecole primaire publique,Public,151,10,1159
0010086N,Collège privé Saint Charles,Privé,340,10,1159
0010380H,Ecole primaire privée de Limerol,Privé,151,10,1159
0011425U,Section d'enseignement professionnel du Lycée polyvalent international,Public,334,10,1160
0010072Y,Lycée polyvalent international,Public,306,10,1160
0010896U,Collège international,Public,340,10,1160
0010109N,Ecole primaire Jean Calas,Public,151,10,1160
0010110P,Ecole primaire Florian,Public,151,10,1160
0010381J,Ecole primaire privée Saint Vincent,Privé,151,10,1160
