0010670Y,151,Ecole primaire,Public,10,1001
0010076C,340,Collège privé Sainte Marie,Privé,10,1004
0010093W,151,Ecole primaire privée Sainte Marie,Privé,10,1004
0011207G,151,Ecole élémentaire Jules Ferry,Public,10,1004
0010442A,101,Ecole maternelle Jules Ferry,Public,10,1004
0010001W,320,Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat,Public,10,1004
0011194T,300,Lycée général et technologique de la Plaine de l'Ain,Public,10,1004
0011253G,101,Ecole maternelle Le Tiret,Public,10,1004
0011265V,151,Ecole élémentaire Jean Jaurès,Public,10,1004
0010445D,101,Ecole maternelle Jean Jaurès,Public,10,1004
0011084Y,151,Ecole primaire Jean de Paris,Public,10,1004
0010002X,340,Collège Saint-Exupéry,Public,10,1004
0011227D,151,Ecole primaire,Public,10,1005
0011270A,151,Ecole élémentaire Olympe de Gouges,Public,10,1007
0011075N,101,Ecole maternelle,Public,10,1007
0010469E,151,Ecole primaire,Public,10,1008
0010210Y,151,Ecole primaire,Public,10,1010
0010143A,151,Ecole primaire,Public,10,1011
0010237C,151,Ecole Primaire,Public,10,1012
0010566K,151,Ecole primaire,Public,10,1013
0010160U,151,Ecole élémentaire Bernard Clavel,Public,10,1014
0011043D,101,Ecole maternelle Village,Public,10,1014
0011141K,101,Ecole maternelle Françoise Dolto,Public,10,1014
0010987T,340,Collège Jean Rostand,Public,10,1014
0010159T,151,Ecole élémentaire Le Planet,Public,10,1014
0010611J,151,Ecole primaire,Public,10,1015
0010567L,151,Ecole primaire,Public,10,1017
0011389E,151,Ecole primaire publique,Public,10,1021
0011138G,151,Ecole primaire privée,Privé,10,1021
0011076P,101,Ecole maternelle,Public,10,1022
0010794H,340,Collège du Valromey,Public,10,1022
0010228T,151,Ecole élémentaire,Public,10,1022
0010253V,151,Ecole primaire privée,Privé,10,1024
0011316A,151,Ecole primaire,Public,10,1024
0010369W,151,Ecole primaire,Public,10,1025
0011332T,151,Ecole élémentaire,Public,10,1025
0011226C,101,Ecole maternelle Jacques Prévert,Public,10,1025
0010005A,340,Collège Roger Poulnard,Public,10,1025
0011074M,380,Maison Familiale Rurale de Bâgé-le-Châtel,Privé,10,1026
0010386P,151,Ecole primaire,Public,10,1026
0011205E,101,Ecole maternelle Les Lilas,Public,10,1027
0010496J,151,Ecole élémentaire L'Orée du Bois,Public,10,1027
0010425G,151,Ecole primaire,Public,10,1028
0010920V,151,Ecole élémentaire,Public,10,1029
0011113E,151,Ecole primaire,Public,10,1030
0011168P,151,Ecole élémentaire Pré des Saules,Public,10,1031
0011165L,101,Ecole maternelle Pré des Saules,Public,10,1031
0010922X,151,Ecole élémentaire Les Sources,Public,10,1031
0011119L,306,Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages,Public,10,1031
0011411D,334,Section d'enseignement professionnel du Lycée polyvalent Arbez Carme,Public,10,1031
0010921W,101,Ecole maternelle Les Sources,Public,10,1031
0011228E,101,Ecole maternelle Le Petit Poucet,Public,10,1032
0011266W,151,Le chat botté,Public,10,1032
0011036W,151,Ecole primaire René Rendu,Public,10,1033
0011224A,151,Ecole primaire Marius Pinard,Public,10,1033
0010605C,151,Ecole primaire,Public,10,1033
0011347J,334,Section d'enseignement professionnel du Lycée polyvalent Saint-Exupéry,Public,10,1033
0010008D,340,Collège Saint-Exupéry,Public,10,1033
0011066D,340,Collège Louis Dumont,Public,10,1033
0010879A,151,Ecole primaire Les Montagniers,Public,10,1033
0010977G,151,Ecole primaire Le Bois des Pesses,Public,10,1033
0011087B,151,Ecole primaire Arlod,Public,10,1033
0011208H,151,Ecole primaire Le Grand Clos,Public,10,1033
0011334V,390,Section d'enseignement général et professionnel adapté du Collège Saint-Exupéry,Public,10,1033
0010006B,306,Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment,Public,10,1033
0011364C,151,Ecole primaire publique Pierre Longue,Public,10,1033
0010592N,151,Ecole primaire,Public,10,1033
0011010T,320,Lycée professionnel du Bugey,Public,10,1034
0011258M,320,Lycée professionnel privé Ensemble scolaire Lamartine,Privé,10,1034
0010268L,151,Ecole primaire privée Sainte Anne,Privé,10,1034
0010607E,151,Ecole élémentaire Jean Ferrat,Public,10,1034
0011366E,390,Section d'enseignement général et professionnel adapté du Collège du Sabine Zlatin,Public,10,1034
0010010F,300,Lycée général et technologique du Bugey,Public,10,1034
0010069V,300,Lycée général et technologique privé Ensemble scolaire Lamartine,Privé,10,1034
0010606D,151,Ecole élémentaire Les Charmilles,Public,10,1034
0010608F,101,Ecole maternelle,Public,10,1034
0010991X,101,Ecole maternelle La Rodette,Public,10,1034
0011067E,340,Collège Sabine Zlatin,Public,10,1034
0011150V,340,Collège privé Ensemble scolaire Lamartine,Privé,10,1034
0010489B,151,Ecole primaire,Public,10,1037
0010694Z,151,Ecole primaire,Public,10,1038
0010227S,151,Ecole primaire,Public,10,1039
0010709R,151,Ecole élémentaire,Public,10,1040
0010448G,151,Ecole primaire,Public,10,1041
0011094J,151,Ecole élémentaire,Public,10,1043
0011095K,101,Ecole maternelle,Public,10,1043
0011360Y,340,Collège Louis Armstrong,Public,10,1043
0010590L,151,Ecole primaire,Public,10,1044
0010671Z,151,Ecole élémentaire,Public,10,1046
0010881C,151,Ecole primaire,Public,10,1047
0011326L,300,Lycée général de la Côtière,Public,10,1049
0010505U,151,Ecole élémentaire,Public,10,1049
0010506V,101,Ecole maternelle,Public,10,1049
0010731P,151,Ecole élémentaire,Public,10,1050
0010013J,302,Lycée général Lalande,Public,10,1053
0010018P,340,Collège du Revermont,Public,10,1053
0010099C,320,Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique,Privé,10,1053
0010193E,151,Ecole primaire Lazare Carnot,Public,10,1053
0010197J,101,Ecole maternelle Charles Robin,Public,10,1053
0010270N,151,Ecole primaire privée Notre-Dame,Privé,10,1053
0010777P,101,Ecole maternelle Brou,Public,10,1053
0011086A,151,Ecole élémentaire Les Lilas,Public,10,1053
0011256K,320,Ecole privée Silvya Terrade - Bourg-en-Bresse,Privé,10,1053
0011271B,153,Ecole primaire d'application Les Vennes,Public,10,1053
0011447T,151,Ecole Montessori Les chemins de traverse,Privé,10,1053
0011034U,151,Ecole primaire Charles Jarrin,Public,10,1053
0011117J,151,Ecole Primaire Les Arbelles,Public,10,1053
0011289W,151,Ecole primaire privée Saint Louis-Saint Vincent,Privé,10,1053
0010776N,151,Ecole élémentaire de Brou,Public,10,1053
0011108Z,151,Ecole élémentaire Charles Robin,Public,10,1053
0011148T,151,Ecole primaire Charles Péguy,Public,10,1053
0010070W,300,Lycée général et technologique privé Saint Pierre,Privé,10,1053
0010986S,151,Ecole primaire Saint-Exupéry,Public,10,1053
0010079F,340,Collège privé Saint Joseph,Privé,10,1053
0010819K,307,"Lycée d'enseignement général, technologique et professionnel agricole de Bourg-en-Bresse",Public,10,1053
0010016M,306,Lycée polyvalent Joseph-Marie Carriat,Public,10,1053
0011118K,320,"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté",Public,10,1053
0010017N,334,Section d'enseignement professionnel du Lycée polyvalent Carriat,Public,10,1053
