id,name_town,id_uu,id_dpt,id_region
1001,L'Abergement-Clémenciat,1000,1,84
1002,L'Abergement-de-Varey,1000,1,84
1004,Ambérieu-en-Bugey,1303,1,84
1005,Ambérieux-en-Dombes,1000,1,84
1006,Ambléon,1000,1,84
1007,Ambronay,1000,1,84
1008,Ambutrix,1303,1,84
1009,Andert-et-Condon,1000,1,84
1010,Anglefort,1000,1,84
1011,Apremont,1000,1,84
1012,Aranc,1000,1,84
1013,Arandas,1000,1,84
1014,Arbent,1402,1,84
1015,Arboys en Bugey,1000,1,84
1016,Arbigny,1000,1,84
1017,Argis,1000,1,84
1019,Armix,1000,1,84
1021,Ars-sur-Formans,1000,1,84
1022,Artemare,1000,1,84
1023,Asnières-sur-Saône,1000,1,84
1024,Attignat,1113,1,84
1025,Bâgé-Dommartin,1201,1,84
1026,Bâgé-le-Châtel,1201,1,84
1027,Balan,1202,1,84
1028,Baneins,1000,1,84
1029,Beaupont,1000,1,84
1030,Beauregard,760,1,84
1031,Bellignat,1402,1,84
1032,Béligneux,1202,1,84
1033,Valserhône,360,1,84
1034,Belley,1301,1,84
1035,Belleydoux,1000,1,84
1036,Valromey-sur-Séran,1000,1,84
1037,Bénonces,1000,1,84
1038,Bény,1000,1,84
1039,Béon,1000,1,84
1040,Béréziat,1000,1,84
1041,Bettant,1000,1,84
1042,Bey,1000,1,84
1043,Beynost,760,1,84
1044,Billiat,1000,1,84
1045,Birieux,1000,1,84
1046,Biziat,1000,1,84
1047,Blyes,1000,1,84
1049,La Boisse,760,1,84
1050,Boissey,1000,1,84
1051,Bolozon,1000,1,84
1052,Bouligneux,1000,1,84
1053,Bourg-en-Bresse,1501,1,84
1054,Bourg-Saint-Christophe,1302,1,84
1056,Boyeux-Saint-Jérôme,1000,1,84
1057,Boz,1000,1,84
1058,Brégnier-Cordon,1000,1,84
1060,Brénod,1000,1,84
1061,Brens,1301,1,84
1062,Bressolles,1000,1,84
1063,Brion,1203,1,84
1064,Briord,1000,1,84
1065,Buellas,1108,1,84
1066,La Burbanche,1000,1,84
1067,Ceignes,1000,1,84
1068,Cerdon,1000,1,84
1069,Certines,1116,1,84
1071,Cessy,1401,1,84
1072,Ceyzériat,1123,1,84
1073,Ceyzérieu,1000,1,84
1074,Chalamont,1105,1,84
1075,Chaleins,1000,1,84
1076,Chaley,1000,1,84
1077,Challes-la-Montagne,1000,1,84
1078,Challex,1000,1,84
1079,Champagne-en-Valromey,1000,1,84
1080,Champdor-Corcelles,1000,1,84
1081,Champfromier,1000,1,84
1082,Chanay,1000,1,84
1083,Chaneins,1000,1,84
1084,Chanoz-Châtenay,1000,1,84
1085,La Chapelle-du-Châtelard,1000,1,84
1087,Charix,1000,1,84
1088,Charnoz-sur-Ain,1000,1,84
1089,Château-Gaillard,1000,1,84
1090,Châtenay,1000,1,84
1092,Châtillon-la-Palud,1104,1,84
1093,Châtillon-sur-Chalaronne,1130,1,84
1094,Chavannes-sur-Reyssouze,1000,1,84
1095,Nivigne et Suran,1000,1,84
1096,Chaveyriat,1000,1,84
1098,Chazey-Bons,1000,1,84
1099,Chazey-sur-Ain,1000,1,84
